teamname,goalnetstanchioncolor2r,hastifo,stadiumgoalnetstyle,utcoffset,teamcolor1b,crowdregion,gender,captainid,popularity,iscompetitioncrowdcardsenabled,numtransfersin,teamcolor3b,matchdaymidfieldrating,youthdevelopment,personalityid,pitchlinecolor,crowdskintonecode,teamcolor2r,stadiumgoalnetpattern,freekicktakerid,genericint2,opponentstrongthreshold,powid,hasstandingcrowd,longitude,genericint1,teamcolor3g,goalnetstanchioncolor1g,teamcolor2b,favoriteteamsheetid,clubworth,haslargeflag,midfieldrating,trait1vequal,presassetone,teamstadiumcapacity,goalnetstanchioncolor1b,teamcolor3r,rightfreekicktakerid,attackrating,overallrating,presassettwo,opponentweakthreshold,teamcolor1g,throwerright,hasvikingclap,iscompetitionscarfenabled,goalnetstanchioncolor1r,leftfreekicktakerid,longkicktakerid,trainingstadium,skinnyflags,stanchionflamethrower,cksupport6,prev_el_champ,uefa_consecutive_wins,ethnicity,trait1vstrong,defenserating,leaguetitles,cksupport2,stadiummowpattern_code,iscompetitionpoleflagenabled,internationalprestige,rivalteam,rightcornerkicktakerid,cksupport9,goalnetstanchioncolor2b,cksupport8,uefa_cl_wins,penaltytakerid,profitability,uefa_uecl_wins,genericbanner,matchdayattackrating,hassubstitutionboard,pitchwear,trait1vweak,teamcolor1r,pitchcolor,teamid,buildupplay,cksupport5,defensivedepth,cksupport3,goalnetstanchioncolor2g,cityid,cksupport4,domesticprestige,flamethrowercannon,ballid,form,teamcolor2g,cksupport7,latitude,matchdayoverallrating,hassuncanthem,cksupport1,cornerflagpolecolor,isbannerenabled,playsurfacetype,throwerleft,leftcornerkicktakerid,foundationyear,assetid,uefa_el_wins,matchdaydefenserating,jerseytype,domesticcups
Al Ittihad,52,0,0,3,1,8,0,209499,8,0,0,255,76,5,1,0,9,1,1,241852,-1,2,-1,1,39,74,255,80,1,-1,113380,0,76,4202625,0,60342,53,255,241852,76,74,0,2,255,235410,0,1,52,241852,241852,316,0,0,235410,0,0,5,266369,72,10,225953,1,1,6,112387,241852,241852,53,225953,0,209499,10,0,0,76,0,1,4202625,255,4,607,2,260977,50,235410,80,232,209499,10,4,67,0,1,234906,21,74,0,234906,0,1,0,235410,241852,1927,607,0,72,2,10
Livingston,1,0,30,0,1,3,0,190180,1,0,0,1,64,3,1,0,2,255,1,215420,-1,1,-1,0,-3,64,240,1,1,-1,3300,0,64,264208,0,9512,1,255,215420,63,64,0,1,1,222932,0,2,1,215420,215420,316,0,0,222932,0,0,2,526352,62,0,243841,15,1,1,81,215420,243841,1,278598,0,215420,2,0,0,63,0,0,4198416,1,4,621,3,193957,50,222932,1,673,246872,3,0,173,0,215,215420,55,64,0,278598,0,2,0,222932,215420,1995,621,0,62,1,0
Fortuna Sittard,185,0,0,1,50,4,0,197860,1,2,0,4,68,1,1,0,2,24,0,246960,-1,1,-1,2,5,68,4,185,90,-1,32500,0,68,4202504,0,12511,185,4,246960,68,68,1,1,240,239378,0,2,185,246960,246960,316,0,0,239378,0,0,2,266248,67,0,79242,1,2,1,1904,246960,246960,185,240271,0,246960,5,0,0,68,0,0,4202504,240,4,634,2,258823,50,239378,185,677,261249,4,0,30,0,160,275858,50,68,0,240271,0,2,0,239378,275858,1968,634,0,67,2,2
FC Volendam,150,0,0,1,0,4,0,227537,2,0,0,1,67,7,0,0,2,5,0,239012,-1,1,-1,2,5,66,100,150,5,-1,23750,0,67,270400,0,6800,150,255,239012,66,66,0,1,125,254503,0,2,150,239012,221907,316,0,0,254503,0,0,1,528448,66,0,239012,15,2,1,100638,221907,239012,150,221907,0,227537,5,0,0,66,0,0,4202560,250,4,645,2,226677,50,254503,150,906,79397,1,0,30,0,5,227537,52,66,0,227537,0,2,0,254503,221907,1920,645,0,66,2,0
Sp. Charleroi,202,0,8,1,5,4,0,73348,4,2,0,1,70,5,0,0,2,255,0,73348,-1,1,-1,1,4,69,1,204,255,-1,37000,0,70,4202568,0,15000,206,1,73348,69,69,1,1,5,227667,0,1,202,73348,73348,316,0,0,227667,0,0,1,266312,69,0,277975,1,1,4,232,73348,243953,206,277975,0,73348,4,0,0,69,0,0,4202568,5,4,670,2,270636,50,227667,204,103,243953,5,0,122,0,255,274701,50,69,0,274701,0,1,0,227667,73348,1904,670,0,69,2,0
KRC Genk,55,0,3,1,186,4,0,229659,6,2,0,255,73,8,0,0,2,255,0,260570,-1,2,-1,1,5,73,255,72,255,-1,130000,0,73,4195352,0,24956,186,255,260570,71,73,1,2,72,266616,0,1,55,260570,260570,316,0,0,266616,0,0,3,270360,74,4,229659,1,1,5,680,260570,260570,186,70496,0,260570,8,0,0,71,0,0,4195352,55,4,673,1,222875,50,266616,72,179,270995,9,1,122,0,255,70497,51,73,0,70496,0,1,0,266616,70497,1988,673,0,74,2,5
KAA Gent,255,0,0,1,183,4,0,204549,6,1,0,23,71,6,0,0,2,255,1,266681,-1,1,-1,1,3,70,228,255,255,-1,147000,0,71,525442,0,20000,255,213,266681,70,70,0,1,58,239589,0,1,255,266681,266681,316,0,0,239589,0,0,3,532610,70,1,251633,1,1,5,231,266681,271953,255,251633,0,239589,6,0,0,70,0,0,263298,1,4,674,1,260432,30,239589,255,181,271953,8,0,122,0,255,264201,51,70,0,264201,0,1,0,239589,266681,1900,674,0,70,2,4
STVV,202,0,38,1,19,4,0,71641,3,0,0,70,70,3,1,0,2,0,0,232490,-1,1,-1,1,5,69,41,204,250,-1,40000,0,70,525312,0,14600,206,46,232490,64,69,0,1,238,76570,0,1,202,232490,232490,316,0,0,76570,0,0,2,532480,68,0,271219,15,1,3,673,232490,271219,206,266831,0,76570,3,0,0,64,0,0,263168,249,4,680,1,270923,30,76570,204,451,235799,5,0,122,0,0,232490,50,69,0,266831,0,1,2,76570,232490,1924,680,0,68,2,0
KVC Westerlo,200,0,38,1,0,4,0,235661,3,0,0,20,69,3,0,0,2,14,0,235661,-1,1,-1,1,5,69,224,200,181,-1,55000,0,69,532545,0,8035,200,229,235661,67,68,0,1,244,271979,0,1,200,235661,235661,316,0,0,271979,0,0,4,528449,68,0,255558,0,1,1,110724,235661,251575,200,235661,0,271979,7,0,0,67,0,1,270401,249,0,681,2,251466,30,271979,200,526,251575,3,0,122,0,113,263496,51,68,0,263496,0,1,0,271979,235661,1933,681,0,68,2,1
Columbus Crew,1,0,0,-5,0,6,0,266390,5,0,0,0,70,5,1,0,2,12,0,245855,-1,1,-1,0,-83,70,240,1,12,-1,194000,0,70,132250,0,20000,1,255,245855,71,70,0,1,240,241907,0,1,1,245855,245855,316,0,0,241907,0,0,1,4202650,68,3,274535,0,1,2,113149,245855,70155,1,274535,0,241907,7,0,0,71,0,0,132250,255,4,687,1,246106,65,241907,1,114,70155,10,4,134,0,12,242515,39,70,0,242515,0,1,0,241907,245855,1996,687,0,68,1,1
D.C. United,1,0,0,-5,1,6,0,266805,5,0,0,36,65,4,0,0,2,255,0,71914,-1,1,-1,0,-76,67,47,1,255,-1,277000,0,65,532618,0,20000,1,239,254841,71,67,0,1,1,277301,0,1,1,71914,268685,316,0,0,277301,0,0,2,528522,67,4,256215,3,1,3,689,254841,256215,1,71914,0,263180,2,0,0,71,0,0,270474,1,4,688,2,268685,30,277301,1,522,242302,7,4,134,0,255,263180,38,67,0,263180,0,1,0,277301,71914,1995,688,0,67,2,3
Red Bulls,255,1,0,-5,29,6,0,208448,5,0,0,62,66,7,0,0,2,255,0,208448,-1,1,-1,0,-74,67,42,1,255,-1,261000,0,66,66688,0,25000,1,31,208448,69,67,0,1,0,255335,0,1,255,208448,208448,316,0,1,226803,0,0,1,139392,62,0,268402,1,1,4,112828,84119,268402,1,247325,0,208448,5,0,0,69,0,0,66688,246,4,689,1,77455,90,183569,1,210,275294,7,4,134,0,255,208448,40,67,0,247325,0,1,0,84119,208448,1995,689,0,62,1,0
New England,38,0,0,-5,84,6,0,210930,5,0,0,52,70,5,0,0,2,255,0,210930,-1,1,-1,0,-71,69,22,52,255,-1,170500,0,70,4202632,0,20000,84,235,210930,69,69,0,1,52,70892,0,1,38,210930,270107,316,0,0,70892,0,0,2,266376,66,0,269005,15,1,3,689,210930,270107,84,247874,0,210930,5,0,0,69,0,0,4202632,38,4,691,2,266682,50,70892,52,166,226793,5,4,134,0,255,210930,42,69,0,270107,0,1,2,70892,247874,1995,691,0,66,2,1
Chicago Fire FC,12,0,0,-6,29,6,0,238008,4,0,0,106,69,3,0,0,2,255,0,219951,-1,1,-1,0,-87,70,38,12,255,-1,285500,0,69,525584,0,24955,12,15,215443,76,70,0,1,0,225085,0,1,12,219951,215443,316,0,0,225085,0,0,2,532752,67,1,228312,3,1,1,691,219951,228312,12,215443,0,233630,4,0,0,76,0,0,263440,246,4,693,1,273550,30,225085,12,607,78452,4,4,134,0,255,233630,41,70,0,233630,0,1,0,225085,215443,1997,693,0,67,2,4
Colorado Rapids,129,0,0,-7,14,6,0,234777,3,0,0,14,68,3,0,0,2,153,1,260523,-1,1,-1,0,-104,68,1,1,255,-1,160000,0,68,132416,0,18061,14,155,260523,71,68,0,1,1,237000,0,1,129,260523,260523,316,0,0,228295,0,0,1,4202816,67,1,256934,1,1,1,111065,247612,277794,14,247612,0,260523,7,0,0,71,0,0,132416,129,4,694,1,231985,65,228295,1,115,276207,4,4,134,0,204,260523,39,68,0,277794,0,1,0,231985,260523,1995,694,0,67,2,0
FC Dallas,1,0,0,-6,0,6,0,215643,3,0,0,127,68,6,0,0,2,255,0,244797,-1,1,-1,0,-96,68,62,62,255,-1,168000,0,68,270344,0,20500,127,1,244797,71,67,0,1,0,244797,0,1,1,215643,273577,316,0,0,244797,0,0,2,528392,65,0,254067,1,1,2,698,273577,273577,127,254067,0,244797,7,0,0,71,0,0,4202504,220,4,695,2,215643,50,244797,62,169,78172,6,4,134,0,255,256194,33,67,0,256194,0,1,0,244797,273577,1995,695,0,65,1,2
Sporting KC,118,0,0,-6,191,6,0,251105,6,0,0,255,65,8,0,0,2,12,0,223978,-1,1,-1,0,-94,65,255,156,43,-1,182500,0,65,532562,0,18467,191,255,223978,75,65,1,1,156,251105,0,1,118,223978,223978,316,0,0,251105,0,0,2,528466,62,2,261604,1,1,2,698,240226,240226,191,261604,0,251105,5,0,0,75,0,0,270418,118,4,696,2,82378,30,251105,156,240,77490,7,4,134,0,24,223978,39,65,0,223978,0,1,0,251105,240226,1995,696,0,62,2,4
LA Galaxy,1,0,0,-8,255,6,0,188350,8,0,0,0,70,4,0,0,2,0,0,188350,-1,1,-1,0,-118,70,210,1,93,-1,850000,0,70,525568,0,27000,1,255,188350,72,70,0,1,255,242998,0,1,1,188350,188350,316,0,0,242998,0,0,2,532736,68,6,247509,1,1,6,112996,70822,188350,1,247509,0,242998,2,0,0,72,0,0,263424,255,4,697,1,258095,30,242998,1,97,77474,10,0,134,0,36,241162,34,70,0,241162,0,1,0,242998,188350,1995,697,0,68,2,2
Houston Dynamo,255,0,16,-6,50,6,0,209597,5,0,0,1,71,4,1,0,2,255,0,260479,-1,1,-1,0,-95,70,1,114,255,-1,188000,0,71,4195460,0,22039,50,1,260479,73,70,0,1,114,220715,0,1,255,234819,260479,316,0,0,220715,0,0,2,270468,69,2,213948,1,1,2,695,234819,234819,50,213948,0,220715,6,0,0,73,0,0,4195460,255,4,698,1,232255,50,220715,114,220,156519,4,1,134,0,255,247351,30,70,0,247351,0,1,0,220715,234819,2005,698,0,69,1,2
IF Elfsborg,1,0,0,1,36,7,0,209063,3,0,0,30,68,6,0,0,2,1,0,221919,-1,1,-1,1,12,67,255,1,1,-1,13000,0,68,270470,0,16200,1,255,221919,65,67,0,1,220,221919,0,1,1,221919,221919,316,0,0,221919,0,0,3,528518,67,6,266927,15,1,3,319,236427,192102,1,266927,0,209061,6,0,0,65,0,0,4202630,249,4,700,2,70124,50,221919,1,62,192102,7,0,97,0,1,254275,57,67,0,254275,0,1,2,221919,236427,1904,700,0,67,2,3
IFK Norrköping,169,0,0,1,126,7,0,202905,3,0,0,223,66,7,0,0,2,255,1,211177,-1,1,-1,1,16,65,95,169,255,-1,8000,0,66,532490,0,16000,169,32,211177,67,64,0,1,68,202905,0,1,169,211177,211177,316,0,0,202905,0,0,3,528394,64,13,159996,15,1,2,320,211177,159996,169,160121,0,202905,3,0,0,67,0,0,270346,17,4,702,2,213813,30,202905,169,349,77761,5,0,97,0,255,211177,58,64,0,160121,0,1,2,202905,211177,1897,702,0,64,1,6
Hammarby IF,169,0,0,1,33,7,0,197240,4,0,0,24,69,6,0,0,2,255,0,197240,-1,1,-1,1,18,68,77,169,255,-1,19000,0,69,4195464,0,30000,169,1,197240,68,68,1,1,97,256326,0,1,169,197240,197240,316,0,0,256326,0,0,6,270472,68,1,223379,15,1,3,710,197240,266337,169,263761,0,197240,8,0,0,68,0,0,4195464,1,4,708,1,243284,50,256326,169,464,275290,9,0,97,0,255,197240,59,68,0,263761,0,1,2,256326,197240,1889,708,0,68,1,1
Djurgårdens IF,169,0,0,1,255,7,0,223907,4,0,0,210,67,5,0,0,2,47,0,70087,-1,1,-1,1,18,67,125,169,95,-1,20000,0,67,263304,0,30000,169,15,70087,65,67,1,1,128,256507,0,1,169,79512,76879,316,0,0,256507,0,0,2,532616,65,12,70096,15,1,3,433,70087,70096,169,234522,0,256507,8,0,0,65,0,0,4195464,1,4,710,1,242062,50,256507,169,464,76879,9,0,97,0,62,79512,59,67,0,234522,0,1,2,256507,79512,1891,710,0,65,2,5
BK Häcken,169,0,18,1,1,7,0,234488,3,0,0,255,68,7,0,0,2,1,0,234488,-1,1,-1,1,11,67,255,169,1,-1,16000,0,68,532480,0,6316,169,255,234488,61,67,0,1,204,272709,0,1,169,234488,234488,316,0,0,272709,0,0,1,528384,66,1,79525,15,1,2,319,234488,242166,169,79525,0,242166,7,0,0,61,0,0,270336,255,4,711,2,70007,30,272709,169,218,242166,8,0,97,0,1,70838,57,67,0,70838,0,1,2,272709,234488,1940,711,0,66,1,4
FC Alverca,255,0,0,0,220,4,0,199577,2,0,0,220,66,2,0,0,2,255,0,262416,-1,1,-1,1,-9,68,90,255,0,-1,8000,0,66,532480,0,2541,255,10,262416,70,68,0,1,90,262416,0,0,255,262416,262416,316,0,0,262416,0,0,3,528384,68,0,70671,1,1,1,718,262416,70671,255,233585,0,262416,2,0,0,70,0,0,270336,10,4,717,2,254230,30,271683,255,973,267958,1,0,36,0,0,271683,38,68,0,233585,0,1,0,262416,262416,1939,717,0,68,2,0
Estrela Amadora,255,0,0,0,63,4,0,244193,2,0,0,255,65,1,0,0,2,214,0,244193,-1,1,-1,1,-9,68,255,255,18,-1,15000,0,65,528448,0,5223,255,255,244193,68,68,0,1,146,244193,0,1,255,244193,244193,316,0,0,244193,0,0,1,526400,66,0,72808,1,0,1,10020,244193,72808,255,264450,0,244193,4,0,0,68,0,0,270400,0,4,718,3,76743,30,229683,255,929,79704,2,0,36,0,2,229683,38,68,0,264450,0,1,0,244193,244193,2020,718,0,66,1,0
Antalyaspor,255,0,1,3,31,5,0,194077,5,0,0,255,68,5,0,0,9,255,0,278159,-1,1,-1,0,30,68,255,255,255,-1,31000,0,68,532545,0,32539,255,255,278159,69,68,0,1,23,204370,0,1,255,278159,228120,316,0,0,204370,0,0,2,528449,68,0,240628,12,1,2,113142,278159,240628,255,278159,0,212205,2,0,0,69,0,0,270401,168,4,741,2,266050,30,204370,255,20,234129,4,4,89,0,255,212205,36,68,0,212205,0,1,0,204370,278159,1966,741,0,68,1,0
Rio Ave FC,1,0,0,0,10,4,0,244287,3,0,0,255,68,6,0,0,2,255,0,263279,-1,1,-1,1,-8,69,255,1,255,-1,22000,0,68,4198468,0,5244,1,255,263279,65,69,0,1,110,279909,0,1,1,263279,263279,316,0,0,279909,0,0,4,264260,69,0,83220,3,1,2,1887,263279,83220,1,261145,0,263279,7,0,0,65,0,0,4202564,0,4,744,3,276159,50,279909,1,516,72863,4,0,36,0,255,263279,41,69,0,261145,0,1,0,279909,263279,1939,744,0,69,2,0
Samsunspor,1,0,1,3,29,5,0,223134,4,0,0,29,71,3,0,0,9,255,0,223134,-1,1,-1,1,36,71,18,1,255,-1,39000,0,71,132096,0,33919,1,235,223134,70,71,0,1,18,244685,0,1,1,223134,223134,316,0,0,244685,0,0,3,4202496,70,0,239045,1,0,3,436,223134,251401,1,239045,0,218745,8,0,0,70,0,0,132096,235,4,748,1,218745,65,244685,1,924,251401,4,0,89,0,255,240040,41,71,0,240040,0,1,0,244685,223134,1965,748,0,70,2,0
Waterford,50,0,3,0,192,3,0,183807,2,0,0,201,59,2,0,0,2,252,0,261876,-1,1,-1,0,-7,59,110,115,252,-1,950,0,59,264272,0,5500,220,45,261876,60,59,0,1,88,183807,0,0,50,261876,261876,316,0,0,183807,0,0,1,526416,57,6,263030,1,0,1,422,261876,263030,220,261876,0,183807,3,0,0,60,0,0,4198480,29,4,753,3,274451,50,183807,115,663,71148,4,0,23,0,252,258532,52,59,0,258532,0,0,0,183807,261876,1930,753,0,57,2,2
SV Oberbank Ried,255,0,0,1,94,4,0,204922,5,0,0,255,65,5,1,0,2,1,1,78797,-1,1,-1,1,13,65,255,255,1,-1,10000,0,65,270340,0,7300,255,255,263049,65,65,0,1,123,70049,0,1,255,78797,238086,316,0,0,70049,0,0,1,528388,65,0,238086,1,1,1,252,263049,263049,255,276129,0,263049,3,0,0,65,0,0,4202500,4,4,780,2,256545,50,70049,255,401,275446,3,0,31,0,1,78797,48,65,0,276129,0,1,0,70049,78797,1912,780,0,65,2,2
F.C. København,220,0,0,1,187,7,0,193283,6,0,0,177,71,5,1,0,2,255,1,203362,-1,1,-1,1,12,71,74,220,255,-1,55000,0,71,66712,0,38065,220,10,246014,73,71,1,1,76,203362,0,1,220,203362,203362,316,0,0,203362,0,0,2,139416,71,16,193283,1,1,4,269,246014,193283,220,263672,0,224389,8,0,0,73,0,0,66712,9,4,819,1,224389,90,240833,220,248,235636,10,0,6,0,255,240833,55,71,0,263672,0,1,0,203362,203362,1992,819,0,71,2,10
Vejle Boldklub,255,0,15,1,25,7,0,177373,2,0,0,255,64,6,0,0,2,255,1,217845,-1,1,-1,1,9,65,255,255,255,-1,4000,0,64,139328,0,11060,255,255,217845,65,65,0,1,25,264822,0,1,255,217845,217845,316,0,0,264822,0,0,1,4198464,65,5,259134,0,1,1,271,217845,217845,255,259134,0,264822,4,0,0,65,0,0,139328,196,4,822,2,204017,65,264822,255,690,77090,1,0,6,0,255,257399,55,65,0,257399,0,1,0,264822,217845,1891,822,0,65,2,6
Shelbourne,10,0,1,0,25,3,0,205139,3,0,0,28,62,4,0,0,2,255,0,205139,-1,1,-1,1,-6,62,39,60,255,-1,942,0,62,132416,0,4450,40,222,205139,61,62,1,1,25,230722,0,0,10,205139,254158,316,0,0,230722,0,0,1,4202816,61,14,263840,1,1,1,305,254158,77433,40,263840,0,205139,2,0,0,61,0,0,132416,255,4,834,1,274390,65,230722,60,143,77433,4,0,23,0,255,263650,53,62,0,263650,0,1,0,230722,254158,1895,834,0,61,2,7
Lech Poznań,120,0,0,1,156,5,0,206626,5,1,0,198,69,9,0,0,2,255,1,258276,-1,1,-1,1,16,70,121,120,255,-1,16588,0,69,4195474,0,42837,120,65,258276,74,70,0,1,81,206626,0,1,120,261108,258276,316,0,0,206626,0,0,1,270482,68,9,237371,1,1,4,1871,258276,220912,120,237371,0,206626,7,0,0,74,0,0,4195474,0,4,873,1,267467,50,206626,120,388,220912,10,0,93,0,255,259105,52,70,0,259105,0,1,0,206626,261108,1922,873,0,68,2,5
FC Zürich,230,0,0,1,230,4,0,204842,6,0,0,129,64,6,0,0,2,255,1,246168,-1,1,-1,1,8,66,56,230,255,-1,20900,0,64,139264,0,26104,230,33,246168,64,66,0,1,155,251381,0,1,230,246168,246168,316,0,0,251381,0,0,5,4198400,65,13,83431,0,1,5,322,246168,83431,230,246168,0,246168,5,0,0,64,0,0,139264,1,4,894,2,71151,65,251381,230,539,264433,7,0,71,0,255,76579,47,66,0,76579,0,1,0,251381,246168,1896,894,0,65,2,10
FC Basel 1893,110,1,0,1,22,4,0,193348,7,3,0,169,71,7,1,0,2,1,0,193348,-1,1,-1,1,7,71,7,110,129,-1,70800,0,71,4195602,0,38512,110,1,193348,68,71,0,1,4,222352,0,1,110,193348,239016,316,0,0,222352,0,0,3,270610,70,21,270828,3,1,7,900,193348,270828,110,260651,0,193348,5,0,0,68,0,0,4195602,230,5,896,1,262062,50,222352,110,41,247599,10,0,71,0,7,193348,47,71,0,260651,0,1,0,222352,193348,1893,896,0,70,2,14
FC Luzern,180,0,3,1,170,4,0,231039,4,0,0,255,65,4,0,0,2,255,0,256980,-1,1,-1,1,8,66,255,180,255,-1,27000,0,65,270464,0,16490,180,255,256980,67,66,0,1,98,275090,0,1,180,256980,256980,316,0,0,275090,0,0,2,528512,66,1,244592,1,1,2,898,256980,244592,180,256980,0,256980,3,0,0,67,0,0,4202624,0,4,897,2,257344,50,275090,180,292,80094,5,0,71,0,255,80138,47,66,0,80138,0,1,0,275090,256980,1901,897,0,66,2,3
FC St. Gallen,20,0,25,1,88,4,0,228645,5,0,0,88,68,5,0,0,2,255,1,228645,-1,1,-1,1,9,68,168,20,255,-1,22850,0,68,4202626,0,19568,20,45,228645,65,68,0,1,148,261444,0,1,20,228645,228645,316,0,0,261444,0,0,2,266370,67,2,245428,3,1,5,897,228645,258784,20,245428,0,75654,4,0,0,65,0,0,4202626,45,4,898,2,252183,50,261444,20,461,258784,7,0,71,0,255,75654,47,68,0,75654,0,1,0,261444,228645,1879,898,0,67,2,1
BSC Young Boys,102,1,12,1,0,4,0,193468,7,3,0,0,72,6,0,0,2,1,0,234913,-1,1,-1,1,7,71,219,102,1,-1,81300,0,72,4198528,0,31120,102,255,234913,71,71,0,1,209,245716,0,1,102,234913,234913,316,0,0,245716,0,0,3,264320,69,17,258924,15,1,6,896,234913,234913,102,258924,0,245716,5,0,0,71,0,0,4202624,255,4,900,3,251617,50,245716,102,48,215556,9,0,71,0,1,260272,46,71,0,260272,0,1,2,245716,234913,1898,900,0,69,2,8
FK Bodø/Glimt,250,0,0,1,1,7,0,222227,5,0,0,1,72,7,0,0,2,1,1,222227,-1,2,-1,1,14,71,210,250,1,-1,24000,0,72,4195464,0,8200,250,235,222227,73,71,1,2,228,233848,0,1,250,222227,222227,316,0,0,233848,0,0,3,270472,70,4,258892,15,1,4,418,222227,225077,250,258892,0,225077,8,0,0,73,0,0,4195464,255,4,918,1,256598,50,233848,250,58,225077,10,0,199,0,1,243203,67,71,0,243203,0,1,2,233848,222227,1916,918,0,70,2,2
SK Brann,1,0,1,1,25,7,0,238263,5,0,0,12,68,4,0,0,2,255,0,241474,-1,1,-1,1,5,68,10,1,255,-1,10000,0,68,132232,0,17500,1,245,225251,68,68,0,1,19,241474,0,1,1,241474,225251,316,0,0,241474,0,0,3,4202632,68,3,237937,1,1,2,298,225251,237937,1,209264,0,225251,7,0,0,68,0,0,132232,204,4,919,1,233705,65,258710,1,46,271156,9,0,199,0,255,258710,60,68,0,209264,0,1,0,241474,241474,1908,919,0,68,1,7
Vålerenga Fotball,1,0,0,1,202,7,0,214877,4,0,0,255,65,8,0,0,2,226,0,245270,-1,1,-1,1,10,66,255,1,63,-1,9000,0,65,264192,0,16556,1,255,76478,66,66,0,1,46,79810,0,1,1,245270,245270,316,0,0,79810,0,0,2,526336,66,5,243817,15,1,2,919,245270,76478,1,243817,0,243817,6,0,0,66,0,0,4198400,25,4,920,3,243283,50,79810,1,361,76478,5,0,199,0,31,214877,59,66,0,214877,0,1,2,79810,245270,1913,920,0,66,2,4
Strømsgodset IF,250,0,0,1,102,7,0,203363,3,0,0,5,63,6,1,0,2,255,0,205291,-1,1,-1,1,10,63,36,250,255,-1,6000,0,63,264192,0,8935,250,198,205291,63,63,0,1,51,264745,0,1,250,205291,205291,316,0,0,264745,0,0,2,526336,66,2,201967,15,1,1,920,205291,72013,250,201967,0,205291,6,0,0,63,0,0,4198400,51,4,922,3,247821,50,264745,250,142,72013,3,0,199,0,255,79574,59,63,0,79574,0,1,2,264745,205291,1907,922,0,66,2,5
Korea Republic,255,0,0,9,1,2,0,221671,0,0,0,255,74,0,1,0,2,1,0,200104,-1,2,-1,0,126,75,255,255,204,-1,0,0,74,4198400,0,69950,255,255,245054,79,75,0,2,1,71106,0,1,255,245054,245054,316,0,0,237086,0,0,5,266240,74,0,228010,0,0,5,1411,228010,261062,255,228010,0,261115,0,0,0,79,0,0,139264,204,4,974,3,71106,50,221671,255,443,227659,10,0,6,0,1,221671,37,75,0,237086,0,0,0,248188,245054,1933,974,0,74,1,0
Daejeon Hana,136,0,0,9,108,2,0,213189,7,0,0,0,68,7,0,0,4,136,0,237091,-1,1,-1,0,127,68,223,124,2,-1,12650,0,68,132097,0,40535,108,248,237091,68,68,0,1,124,251580,0,0,37,237091,237091,316,0,0,251580,0,0,4,4202497,68,0,256370,1,0,1,982,237091,260474,2,256370,0,213189,9,0,0,68,0,0,132097,37,4,980,1,238098,65,251580,37,131,260474,5,4,29,0,37,213189,36,68,0,213189,0,1,0,251580,237091,1997,980,0,68,1,1
FC Seoul,1,0,4,9,1,2,0,213317,9,1,0,255,65,8,1,0,4,1,0,234264,-1,1,-1,1,126,69,255,1,1,-1,16630,0,65,132096,0,66704,1,255,234264,71,68,1,1,1,236757,0,1,255,234264,248188,316,0,0,236757,0,0,4,4202496,70,6,83061,1,1,4,112555,234264,83061,1,234264,0,236757,9,0,0,71,0,0,132096,255,4,982,1,237101,65,236757,1,443,254225,7,0,29,0,1,248188,37,68,0,248188,0,1,0,236757,234264,1983,982,0,70,2,2
San Lorenzo,255,0,23,-3,63,1,0,227900,7,2,0,63,68,6,0,0,7,217,0,260593,-1,1,-1,1,-58,70,44,255,17,-1,135000,0,68,132360,0,47964,255,29,260593,70,70,1,1,44,251030,0,0,255,75653,245249,316,1,0,251030,0,0,3,4202760,62,15,274081,3,1,5,111711,260593,227900,255,274081,1,251030,3,0,0,70,0,0,132360,29,4,1013,1,75653,65,251030,255,82,227900,7,0,190,0,27,79782,-34,70,0,79782,0,1,0,251030,245249,1908,1013,1,62,2,0
Atlético Mineiro,255,0,0,-3,1,1,0,230225,6,1,0,255,75,5,0,0,7,255,1,230463,-1,2,-1,1,-44,75,255,255,255,-1,219990,0,75,132232,0,44892,255,255,230463,77,75,0,2,1,230347,0,1,255,230463,230463,316,0,0,230347,0,0,4,4202632,76,3,236142,1,1,8,568,230463,236142,255,230463,1,230384,10,0,0,77,0,0,132232,1,4,1035,1,230453,65,230347,255,44,230349,8,0,184,0,255,230384,-19,75,0,230384,0,1,0,230347,230463,1908,1035,0,76,2,2
Corinthians,250,0,8,-3,30,1,0,230258,8,2,0,250,72,5,1,0,7,250,1,230364,-1,2,-1,1,-46,73,250,250,250,-1,225000,0,72,4195592,0,47605,250,250,230364,75,73,2,2,30,230442,0,1,250,230364,230364,316,1,0,230442,0,0,4,270600,74,7,230429,3,0,7,383,230364,230364,250,230429,1,230442,3,0,0,75,0,0,4195592,30,4,1041,1,230258,50,230442,250,434,230451,7,0,184,0,250,230470,-23,73,0,230470,0,1,0,230442,230364,1910,1041,0,74,2,3
Flamengo,230,0,0,-3,15,1,0,230430,8,1,0,255,76,8,0,0,7,1,1,230406,-1,2,-1,1,-43,76,255,230,1,-1,275010,0,76,66708,0,78838,230,255,230406,77,76,2,2,0,230449,1,0,230,230406,230430,316,1,0,230449,0,0,4,139412,75,8,230346,3,1,9,567,230406,230346,230,230460,3,230430,9,0,0,77,0,0,66708,215,4,1043,1,230245,90,230449,230,402,230426,10,0,184,0,1,230430,-22,76,0,230430,0,1,0,230449,230460,1895,1043,0,75,2,5
